time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.195,WINDUP,-0.504118128662302,-0.6000745074352681,0.6888576348260547,-0.03597582144374627,-0.02720652174289248,-0.03610640620722503,0.6908641940389666,0.7087668430611593,-0.06934658770261226,0.46460102139721515,-0.3308675679177371,-0.49351888423433893,-0.8606898530345477,-0.11570491082897316,1.790244782292616,0.7706875047652773,2.27425438062423,0.44313023952919917,-3.437296944226975,-3.059750068928202,-0.6869352209737389
0.2,WINDUP,-0.5005519113299869,-0.60041159488034,0.6912090951601366,-0.03762460131885114,-0.029717122715215358,-0.04044813027967423,0.6902770727892635,0.7170748775895963,-0.06528660241654771,0.4756794159579414,-0.32819020995447923,-0.5105493517755237,-0.8752786469626739,-0.11907676265340283,1.5324215984952039,0.8512557433970613,2.1528023381134354,0.6245519787739073,-3.3683489667585995,-2.7715597425380434,-0.6601935287320337
0.205,WINDUP,-0.496947379886406,-0.6007273734594336,0.6936144289856341,-0.03925772354329106,-0.03231201526064772,-0.04485919267685177,0.6896734264124326,0.7240910590461114,-0.06083403026864165,0.4861290447783495,-0.324622048129998,-0.5272023739019249,-0.8884054504599281,-0.1223068461162935,1.2740158599516826,0.9274358936184335,2.0228122071630494,0.798977767650505,-3.2861629325314,-2.4754833435543966,-0.6302106263111895
0.21,WINDUP,-0.4933110007395258,-0.6010199351830264,0.6960703856079201,-0.04087082180015112,-0.03498914645423461,-0.04933218478427351,0.6890540043281006,0.7298150361891131,-0.05601224348036338,0.4959075380295719,-0.3202004322779742,-0.5434109811008377,-0.9000334803982178,-0.12537886891651473,1.0160289213212437,0.9986713047716034,1.8844351997493458,0.9655009799768743,-3.1904643091542506,-2.1725922927035013,-0.5969623319979078
0.215,WINDUP,-0.4896492295245149,-0.6012874958942372,0.6985735043659298,-0.0424597278660708,-0.037746125071656096,-0.053859527480833946,0.6884196377232674,0.7342513482593238,-0.050847317220925614,0.504973396775843,-0.31496703833022927,-0.5591070169934674,-0.9101313733869631,-0.12827646943627258,0.7594138059635602,1.0644395544723295,1.7378695036707192,1.1232994495554594,-3.0810559267304582,-1.863980321576486,-0.5604456173891048
0.22,WINDUP,-0.48596848725693254,-0.6015284083552357,0.7011201195756785,-0.044020492183453414,-0.04058021662416928,-0.05843349851814314,0.6877712396337379,0.7374091742487487,-0.04536784793564008,0.5132862330662791,-0.3089674377824196,-0.5742215403681423,-0.9186732836139827,-0.13098332509040578,0.505071819278391,1.1242565755431588,1.5833620669858384,1.2716383658957497,-2.9578236907353617,-1.5507577338391698,-0.5206795217838067
0.225,WINDUP,-0.4822751377820274,-0.6017411743735936,0.7037063666965926,-0.045549402243895,-0.04348834047533752,-0.06304626031697377,0.6871098044723634,0.7393020664521077,-0.039604751465494026,0.5208070174457013,-0.30225065467127177,-0.588685253900821,-0.9256389507253548,-0.13348326465411064,0.2538496666060208,1.177680593491548,1.4212097764720877,1.4098723895668963,-2.8207415133931657,-1.2340452198729368,-0.47770582737638456
0.23,WINDUP,-0.47857546659241146,-0.6019244558698906,0.7063281897501356,-0.04704299873016613,-0.04646706916317749,-0.06768988802539669,0.6864364069871968,0.739947670914809,-0.0335910420007246,0.527498330831,-0.2948687138867506,-0.602428955502074,-0.9310137358127121,-0.13576038336416962,0.006537107842263801,1.2243158356362027,1.2517600254435823,1.5374470203218638,-2.6698754062431274,-0.9149673474367903,-0.4315894923823116
0.235,WINDUP,-0.4748756610728793,-0.6020770847936009,0.7089813500049026,-0.0484980893827625,-0.04951263003035826,-0.0723563976751009,0.6857522006387217,0.7393674375305304,-0.027361593109132,0.5333246177001372,-0.28687618446805313,-0.6153840079632523,-0.9347886241997228,-0.13779915957793376,-0.2361348259144469,1.263815972014637,1.0754106765353821,1.6538992555523158,-2.505386686660127,-0.5946458564791479,-0.3824188422218988
0.24,WINDUP,-0.47118179221710615,-0.602198071800982,0.7116614359271369,-0.04991176057484666,-0.052620909242810016,-0.07703777426739392,0.6850584153914174,0.7375863226556645,-0.020952882280578233,0.5382524375963538,-0.27832972133122746,-0.6274828223686753,-0.9369601943775036,-0.1395845717863886,-0.4734950352192069,1.2958872478840977,0.8926094353789438,1.7588575808105023,-2.327534262776476,-0.2741928902337487,-0.33030552248569656
